a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
47254.334, 47255.550584000004, 47255.567252, 47256.783812, 47256.800496, 47257.417106, 47257.433783, 47258.45035, 47258.467078, 47259.883598, 3.100003709138056, 47254.2482455, 13.1219, 13.8454, 14.1909, 16.098, 1.14858, 0.870173, 57.2561, 47255.4582455, 13.3501, 14, 14.1494, 15.7741, 0.992909, 0.673996, 57.2736, 47255.46824549999, 13.3897, 14.0412, 14.1183, 15.7973, 1.01597, 0.649892, 57.3465, 47256.68424549999, 13.0426, 13.8144, 14.2323, 16.098, 1.153, 0.911019, 57.1873, 47256.705245499994, 13.0128, 13.8351, 14.3049, 16.1442, 1.1613, 0.942775, 57.297, 47257.338245499996, 13.2509, 13.9175, 14.2012, 15.9245, 1.04283, 0.774243, 57.2941, 47257.338245499996, 13.2509, 13.9175, 14.2012, 15.9245, 1.04283, 0.774243, 57.2941, 47258.359245499996, 13.4195, 14.134, 13.9006, 15.7048, 1.10162, 0.538464, 57.1589, 47258.3752455, 13.4393, 14.1443, 13.8177, 15.751, 1.15408, 0.520989, 57.1524, 47259.7892455, 13.6278, 14.0412, 13.9835, 15.7163, 0.935286, 0.530999, 57.3689
47259.9, 47261.016575, 47261.033237, 47262.049851, 47262.066486, 47262.483125, 47262.499791, 47264.116356, 47264.133222000004, 47265.266252, 3.0247657878455754, 47259.8202455, 13.5385, 14.0309, 13.911, 15.6816, 0.989765, 0.530906, 57.162, 47260.921245499994, 13.2509, 13.7629, 14.3049, 16.0748, 0.993997, 0.879702, 57.3935, 47260.955245499994, 13.2211, 13.701, 14.336, 15.9939, 0.93351, 0.892816, 57.252, 47261.965245499996, 13.0426, 13.4639, 14.5744, 16.2599, 0.918543, 1.13211, 57.3408, 47261.978245499995, 12.9533, 13.4845, 14.5226, 16.2483, 0.986278, 1.1361, 57.2087, 47262.385245499994, 12.9236, 13.3814, 14.5537, 16.3755, 0.995785, 1.2119, 57.2342, 47262.4182455, 12.9137, 13.4742, 14.5848, 16.3524, 1.01535, 1.19039, 57.325, 47264.04024549999, 13.1814, 13.5979, 14.4915, 16.1095, 0.886431, 0.999017, 57.3804, 47264.04024549999, 13.1814, 13.5979, 14.4915, 16.1095, 0.886431, 0.999017, 57.3804, 47265.1802455, 13.5187, 14.1443, 13.9628, 15.5197, 0.954837, 0.477605, 57.1455
47265.282, 47266.39859, 47266.415252, 47267.415176, 47267.431854, 47267.848477, 47267.865154, 47268.481773, 47268.498819, 47270.448292, 2.87051904679135, 47265.1852455, 13.5088, 14.1856, 14.025, 15.5429, 0.958169, 0.490778, 57.2622, 47266.3142455, 13.3798, 13.8866, 14.2738, 15.8435, 0.904673, 0.745221, 57.3837, 47266.3222455, 13.2905, 13.8454, 14.3049, 15.8088, 0.899035, 0.780217, 57.2496, 47267.32624549999, 13.0327, 13.4536, 14.6677, 16.1673, 0.837648, 1.13799, 57.3213, 47267.334245499995, 13.0029, 13.433, 14.6262, 16.1673, 0.861096, 1.14215, 57.2295, 47267.7572455, 12.5963, 13.2062, 14.9165, 16.6415, 1.01767, 1.50509, 57.3604, 47267.7712455, 12.6459, 13.1237, 14.9268, 16.6184, 0.946262, 1.51156, 57.3148, 47268.387245499995, 12.7252, 13.0928, 15.0512, 16.549, 0.81217, 1.51055, 57.4182, 47268.406245499995, 12.6756, 13.1134, 15.0201, 16.5837, 0.871775, 1.51973, 57.3928, 47270.3502455, 13.0228, 13.5979, 14.5018, 16.0864, 0.943801, 1.04028, 57.2089
47270.775, 47271.991598, 47272.024913, 47273.024842, 47273.041519, 47273.458155, 47273.474824000004, 47274.491419, 47274.508179000004, 47275.624666, 2.8281509602562034, 47270.675245499995, 12.7153, 13.2268, 14.7713, 16.549, 0.999415, 1.40884, 57.2624, 47271.8972455, 12.8145, 13.3814, 14.7091, 16.4796, 1.01831, 1.30509, 57.3847, 47271.93224549999, 12.7153, 13.4021, 14.7506, 16.4449, 1.03863, 1.32906, 57.3129, 47272.9352455, 12.8145, 13.2371, 14.8646, 16.4565, 0.877801, 1.37771, 57.3727, 47272.965245499996, 12.7649, 13.2165, 14.7921, 16.4333, 0.914609, 1.37502, 57.2068, 47273.3612455, 12.7946, 13.1856, 14.8232, 16.4218, 0.869167, 1.38001, 57.2251, 47273.38124549999, 12.8244, 13.2577, 14.7506, 16.4218, 0.918925, 1.33359, 57.2545, 47274.39824549999, 12.9434, 13.4021, 14.678, 16.2367, 0.880775, 1.19699, 57.2603, 47274.408245499995, 12.9434, 13.4021, 14.678, 16.2367, 0.880775, 1.19699, 57.2603, 47275.5322455, 12.626, 13.2268, 14.9787, 16.6299, 0.979811, 1.50251, 57.4614
47275.63, 47276.746623, 47276.763297, 47277.779897, 47277.796545, 47278.313169999994, 47278.329851999995, 47279.346437, 47279.363305, 47280.846336999995, 2.9039447613407887, 47275.5322455, 12.626, 13.2268, 14.9787, 16.6299, 0.979811, 1.50251, 57.4614, 47276.6492455, 12.5863, 13.0412, 15.103, 16.7224, 0.902602, 1.61817, 57.4531, 47276.6722455, 12.5665, 13.0309, 15.072, 16.6068, 0.872645, 1.59263, 57.2762, 47277.686245499994, 12.14, 12.6289, 15.4866, 17.1427, 0.934237, 2.05417, 57.3982, 47277.713245499996, 12.0805, 12.567, 15.4451, 17.1936, 0.975373, 2.09245, 57.2863, 47278.2142455, 12.1202, 12.6392, 15.414, 17.1733, 0.99318, 2.04753, 57.3466, 47278.247245499995, 12.1004, 12.6598, 15.4659, 17.2242, 1.00862, 2.07047, 57.4502, 47279.2522455, 12.5764, 13.1237, 15.0201, 16.5374, 0.90144, 1.53448, 57.2577, 47279.2712455, 12.6161, 13.1546, 14.9476, 16.4449, 0.890377, 1.47518, 57.1632, 47280.77324549999, 12.626, 13.0928, 15.0305, 16.6993, 0.929347, 1.56949, 57.4486
47280.863, 47281.979582, 47282.012919999994, 47283.012838999995, 47283.029512, 47283.446136, 47283.462823999995, 47283.862782, 47283.879643, 47285.979290999996, 3.026913056178775, 47280.77324549999, 12.626, 13.0928, 15.0305, 16.6993, 0.929347, 1.56949, 57.4486, 47281.8942455, 12.4971, 12.8454, 15.2482, 16.6993, 0.785229, 1.72937, 57.2899, 47281.91724549999, 12.4772, 12.8454, 15.2378, 16.7456, 0.818366, 1.74348, 57.306, 47282.91724549999, 12.8442, 13.299, 14.7402, 16.4102, 0.927112, 1.31095, 57.2936, 47282.9372455, 12.8641, 13.3918, 14.7921, 16.3639, 0.914255, 1.28028, 57.4118, 47283.347245499994, 12.9831, 13.4433, 14.7817, 16.4102, 0.906274, 1.24063, 57.6183, 47283.36424549999, 12.9434, 13.4021, 14.7195, 16.3061, 0.891244, 1.22366, 57.3711, 47283.7652455, 13.0327, 13.5979, 14.5018, 16.1211, 0.953883, 1.04596, 57.2535, 47283.785245499996, 13.0128, 13.6082, 14.5226, 16.202, 0.991747, 1.07336, 57.3457, 47285.887245499995, 12.9831, 13.5258, 14.6366, 16.1789, 0.909308, 1.12692, 57.3243
47285.996, 47287.0126, 47287.029279, 47288.029193, 47288.04586, 47288.4625, 47288.479158, 47289.879078, 47289.895864, 47290.962322, 2.916830243089858, 47285.919245499994, 13.0228, 13.5155, 14.6262, 16.1327, 0.872272, 1.10494, 57.2971, 47286.9242455, 12.5467, 13.134, 14.9787, 16.5952, 0.962335, 1.54395, 57.2546, 47286.9302455, 12.626, 13.2165, 14.9683, 16.6299, 0.980192, 1.50304, 57.4407, 47287.93424549999, 12.3979, 12.866, 15.1963, 16.8034, 0.905958, 1.76444, 57.2636, 47287.959245499995, 12.4574, 12.8866, 15.2689, 16.7571, 0.835553, 1.74709, 57.3701, 47288.39824549999, 12.6359, 13.1237, 15.0616, 16.5374, 0.855842, 1.52706, 57.3587, 47288.39824549999, 12.6359, 13.1237, 15.0616, 16.5374, 0.855842, 1.52706, 57.3587, 47289.779245499994, 12.9137, 13.6392, 14.564, 16.1673, 1.01636, 1.09416, 57.2842, 47289.8182455, 12.9236, 13.6495, 14.5848, 16.1558, 1.00192, 1.09071, 57.3136, 47290.8772455, 13.2509, 13.9588, 14.222, 15.751, 0.97799, 0.724872, 57.1826
47290.995, 47292.211587000005, 47292.228258, 47293.844788, 47293.861462, 47294.378083, 47294.394756, 47295.411368, 47295.428271000004, 47297.127899, 3.383535995219496, 47290.9182455, 13.3104, 14.0619, 14.1909, 15.7279, 0.998631, 0.666729, 57.291, 47292.1192455, 13.3501, 14.0309, 14.2738, 15.6238, 0.886413, 0.659044, 57.2786, 47292.1362455, 13.4096, 13.9691, 14.2634, 15.6238, 0.838155, 0.657089, 57.2659, 47293.7482455, 12.874, 13.4124, 14.7817, 16.1789, 0.84528, 1.22476, 57.247, 47293.77324549999, 12.8938, 13.4021, 14.8854, 16.1327, 0.765753, 1.23586, 57.3139, 47294.2842455, 12.7153, 13.2887, 15.0409, 16.3293, 0.811243, 1.40294, 57.3741, 47294.30924549999, 12.745, 13.2062, 14.9476, 16.468, 0.86357, 1.42879, 57.3668, 47295.330245499994, 12.9137, 13.3918, 14.8854, 16.1673, 0.767148, 1.24149, 57.3581, 47295.330245499994, 12.9137, 13.3918, 14.8854, 16.1673, 0.767148, 1.24149, 57.3581, 47297.0412455, 12.7252, 13.3093, 14.8128, 16.4218, 0.95734, 1.36202, 57.2691
47297.145, 47298.461559999996, 47298.47825, 47300.078121, 47300.094782, 47300.511425, 47300.528102, 47301.52804, 47301.544937, 47303.127906999995, 3.784732130174338, 47297.05724549999, 12.6657, 13.2062, 14.8128, 16.3986, 0.931236, 1.4031, 57.0833, 47298.3672455, 12.2888, 12.7216, 15.4244, 16.9884, 0.869375, 1.93364, 57.4233, 47298.389245499995, 12.2789, 12.7629, 15.4348, 16.9884, 0.886491, 1.92676, 57.465, 47299.9942455, 12.507, 12.866, 15.2378, 16.6993, 0.794142, 1.71806, 57.3101, 47300.0032455, 12.4376, 12.9175, 15.1963, 16.734, 0.880516, 1.72171, 57.2855, 47300.4162455, 12.5963, 13.0309, 15.1134, 16.5721, 0.825888, 1.5856, 57.3127, 47300.4302455, 12.6062, 13.0825, 15.103, 16.6415, 0.87699, 1.58163, 57.4332, 47301.4302455, 12.6756, 12.9381, 15.1445, 16.6184, 0.756574, 1.60757, 57.3766, 47301.4502455, 12.5963, 12.9278, 15.0409, 16.6068, 0.829741, 1.60662, 57.1718, 47303.0432455, 12.3781, 12.8763, 15.1756, 16.9884, 1.00623, 1.80509, 57.4184
47303.144, 47304.360573, 47304.377231, 47305.377171, 47305.393828, 47306.010451, 47306.027123, 47307.027039, 47307.043928, 47308.61027, 3.7610480736074994, 47303.065245499994, 12.4277, 12.8969, 15.1652, 16.9884, 0.99709, 1.78218, 57.4782, 47304.270245499996, 12.4277, 12.7732, 15.2896, 16.8959, 0.850296, 1.8257, 57.3864, 47304.2952455, 12.3781, 12.8454, 15.3622, 17.0306, 0.926682, 1.86649, 57.6162, 47305.277245499994, 12.4078, 12.8144, 15.2689, 16.9653, 0.915051, 1.83059, 57.4565, 47305.2972455, 12.3979, 12.8454, 15.2274, 16.9075, 0.926965, 1.80164, 57.3782, 47305.91724549999, 12.3186, 12.7216, 15.3415, 17.0102, 0.902489, 1.91093, 57.3919, 47305.9332455, 12.3285, 12.7629, 15.3726, 16.9653, 0.882459, 1.89272, 57.4292, 47306.9332455, 12.2293, 12.6186, 15.4244, 17.051, 0.879154, 1.99592, 57.3232, 47306.9582455, 12.3086, 12.6804, 15.4244, 17.051, 0.869384, 1.95416, 57.4644, 47308.512245499995, 12.4971, 12.9485, 15.1652, 16.7571, 0.890422, 1.6935, 57.3679
